fname,fold,target,labels,esc10,src_file,take
1-101336-A-30,1,30,door_wood_knock,FALSE,101336,A
1-103995-A-30,1,30,door_wood_knock,FALSE,103995,A
1-103999-A-30,1,30,door_wood_knock,FALSE,103999,A
1-13571-A-46,1,46,church_bells,FALSE,13571,A
1-13572-A-46,1,46,church_bells,FALSE,13572,A
1-13613-A-37,1,37,clock_alarm,FALSE,13613,A
1-14262-A-37,1,37,clock_alarm,FALSE,14262,A
1-20133-A-39,1,39,glass_breaking,FALSE,20133,A
1-21421-A-46,1,46,church_bells,FALSE,21421,A
1-22804-A-46,1,46,church_bells,FALSE,22804,A
1-26188-A-30,1,30,door_wood_knock,FALSE,26188,A
1-31482-A-42,1,42,siren,FALSE,31482,A
1-31482-B-42,1,42,siren,FALSE,31482,B
1-34853-A-37,1,37,clock_alarm,FALSE,34853,A
1-40154-A-46,1,46,church_bells,FALSE,40154,A
1-48298-A-46,1,46,church_bells,FALSE,48298,A
1-52290-A-30,1,30,door_wood_knock,FALSE,52290,A
1-54084-A-42,1,42,siren,FALSE,54084,A
1-54747-A-46,1,46,church_bells,FALSE,54747,A
1-56907-A-46,1,46,church_bells,FALSE,56907,A
1-67033-A-37,1,37,clock_alarm,FALSE,67033,A
1-72195-A-37,1,37,clock_alarm,FALSE,72195,A
1-72195-B-37,1,37,clock_alarm,FALSE,72195,B
1-74517-A-37,1,37,clock_alarm,FALSE,74517,A
1-76831-A-42,1,42,siren,FALSE,76831,A
1-76831-B-42,1,42,siren,FALSE,76831,B
1-76831-C-42,1,42,siren,FALSE,76831,C
1-76831-D-42,1,42,siren,FALSE,76831,D
1-76831-E-42,1,42,siren,FALSE,76831,E
1-81001-A-30,1,30,door_wood_knock,FALSE,81001,A
1-81001-B-30,1,30,door_wood_knock,FALSE,81001,B
1-82817-A-30,1,30,door_wood_knock,FALSE,82817,A
1-84536-A-39,1,39,glass_breaking,FALSE,84536,A
1-84704-A-39,1,39,glass_breaking,FALSE,84704,A
1-84705-A-39,1,39,glass_breaking,FALSE,84705,A
1-85168-A-39,1,39,glass_breaking,FALSE,85168,A
1-85184-A-39,1,39,glass_breaking,FALSE,85184,A
1-88807-A-39,1,39,glass_breaking,FALSE,88807,A
1-96890-A-37,1,37,clock_alarm,FALSE,96890,A
1-977-A-39,1,39,glass_breaking,FALSE,977,A
2-102435-A-37,2,37,clock_alarm,FALSE,102435,A
2-104475-A-37,2,37,clock_alarm,FALSE,104475,A
2-104476-A-37,2,37,clock_alarm,FALSE,104476,A
2-106881-A-39,2,39,glass_breaking,FALSE,106881,A
2-112213-A-39,2,39,glass_breaking,FALSE,112213,A
2-112213-B-39,2,39,glass_breaking,FALSE,112213,B
2-114254-A-30,2,30,door_wood_knock,FALSE,114254,A
2-117116-A-37,2,37,clock_alarm,FALSE,117116,A
2-118624-A-30,2,30,door_wood_knock,FALSE,118624,A
2-118625-A-30,2,30,door_wood_knock,FALSE,118625,A
2-120218-A-30,2,30,door_wood_knock,FALSE,120218,A
2-120218-B-30,2,30,door_wood_knock,FALSE,120218,B
2-133889-A-30,2,30,door_wood_knock,FALSE,133889,A
2-134915-A-30,2,30,door_wood_knock,FALSE,134915,A
2-140841-A-30,2,30,door_wood_knock,FALSE,140841,A
2-141563-A-39,2,39,glass_breaking,FALSE,141563,A
2-173559-A-39,2,39,glass_breaking,FALSE,173559,A
2-173607-A-39,2,39,glass_breaking,FALSE,173607,A
2-173618-A-39,2,39,glass_breaking,FALSE,173618,A
2-250710-A-39,2,39,glass_breaking,FALSE,250710,A
2-43802-A-42,2,42,siren,FALSE,43802,A
2-43806-A-42,2,42,siren,FALSE,43806,A
2-56926-A-46,2,46,church_bells,FALSE,56926,A
2-57191-A-46,2,46,church_bells,FALSE,57191,A
2-59565-A-46,2,46,church_bells,FALSE,59565,A
2-59566-A-46,2,46,church_bells,FALSE,59566,A
2-61618-A-46,2,46,church_bells,FALSE,61618,A
2-70052-A-42,2,42,siren,FALSE,70052,A
2-70052-B-42,2,42,siren,FALSE,70052,B
2-70936-A-42,2,42,siren,FALSE,70936,A
2-70938-A-42,2,42,siren,FALSE,70938,A
2-70939-A-42,2,42,siren,FALSE,70939,A
2-72688-A-42,2,42,siren,FALSE,72688,A
2-77346-A-46,2,46,church_bells,FALSE,77346,A
2-77347-A-46,2,46,church_bells,FALSE,77347,A
2-78381-A-46,2,46,church_bells,FALSE,78381,A
2-78562-A-37,2,37,clock_alarm,FALSE,78562,A
2-78562-B-37,2,37,clock_alarm,FALSE,78562,B
2-89516-A-37,2,37,clock_alarm,FALSE,89516,A
2-96063-A-37,2,37,clock_alarm,FALSE,96063,A
3-111102-A-46,3,46,church_bells,FALSE,111102,A
3-111102-B-46,3,46,church_bells,FALSE,111102,B
3-117793-A-37,3,37,clock_alarm,FALSE,117793,A
3-117883-A-37,3,37,clock_alarm,FALSE,117883,A
3-120526-A-37,3,37,clock_alarm,FALSE,120526,A
3-120526-B-37,3,37,clock_alarm,FALSE,120526,B
3-122110-A-46,3,46,church_bells,FALSE,122110,A
3-131943-A-37,3,37,clock_alarm,FALSE,131943,A
3-132340-A-37,3,37,clock_alarm,FALSE,132340,A
3-139109-A-46,3,46,church_bells,FALSE,139109,A
3-139958-A-37,3,37,clock_alarm,FALSE,139958,A
3-144510-A-30,3,30,door_wood_knock,FALSE,144510,A
3-148297-A-37,3,37,clock_alarm,FALSE,148297,A
3-151089-A-30,3,30,door_wood_knock,FALSE,151089,A
3-152594-A-30,3,30,door_wood_knock,FALSE,152594,A
3-154378-A-30,3,30,door_wood_knock,FALSE,154378,A
3-170574-A-30,3,30,door_wood_knock,FALSE,170574,A
3-180147-A-30,3,30,door_wood_knock,FALSE,180147,A
3-182023-A-30,3,30,door_wood_knock,FALSE,182023,A
3-182025-A-30,3,30,door_wood_knock,FALSE,182025,A
3-203371-A-39,3,39,glass_breaking,FALSE,203371,A
3-203373-A-39,3,39,glass_breaking,FALSE,203373,A
3-203374-A-39,3,39,glass_breaking,FALSE,203374,A
3-203375-A-39,3,39,glass_breaking,FALSE,203375,A
3-203377-A-39,3,39,glass_breaking,FALSE,203377,A
3-216280-A-39,3,39,glass_breaking,FALSE,216280,A
3-216281-A-39,3,39,glass_breaking,FALSE,216281,A
3-216284-A-39,3,39,glass_breaking,FALSE,216284,A
3-51376-A-42,3,42,siren,FALSE,51376,A
3-51731-A-42,3,42,siren,FALSE,51731,A
3-51731-B-42,3,42,siren,FALSE,51731,B
3-51909-A-42,3,42,siren,FALSE,51909,A
3-51909-B-42,3,42,siren,FALSE,51909,B
3-58772-A-42,3,42,siren,FALSE,58772,A
3-62878-A-42,3,42,siren,FALSE,62878,A
3-62878-B-42,3,42,siren,FALSE,62878,B
3-87936-A-46,3,46,church_bells,FALSE,87936,A
3-87936-B-46,3,46,church_bells,FALSE,87936,B
3-98193-A-46,3,46,church_bells,FALSE,98193,A
3-98869-A-46,3,46,church_bells,FALSE,98869,A
4-102871-A-42,4,42,siren,FALSE,102871,A
4-111671-A-42,4,42,siren,FALSE,111671,A
4-111671-B-42,4,42,siren,FALSE,111671,B
4-121532-A-42,4,42,siren,FALSE,121532,A
4-125825-A-46,4,46,church_bells,FALSE,125825,A
4-125825-B-46,4,46,church_bells,FALSE,125825,B
4-140034-A-46,4,46,church_bells,FALSE,140034,A
4-147657-A-46,4,46,church_bells,FALSE,147657,A
4-147658-A-46,4,46,church_bells,FALSE,147658,A
4-150364-A-46,4,46,church_bells,FALSE,150364,A
4-150364-B-46,4,46,church_bells,FALSE,150364,B
4-151242-A-37,4,37,clock_alarm,FALSE,151242,A
4-156827-A-46,4,46,church_bells,FALSE,156827,A
4-169508-A-37,4,37,clock_alarm,FALSE,169508,A
4-172366-A-37,4,37,clock_alarm,FALSE,172366,A
4-182034-A-30,4,30,door_wood_knock,FALSE,182034,A
4-182039-A-30,4,30,door_wood_knock,FALSE,182039,A
4-182041-A-30,4,30,door_wood_knock,FALSE,182041,A
4-186518-A-30,4,30,door_wood_knock,FALSE,186518,A
4-187284-A-30,4,30,door_wood_knock,FALSE,187284,A
4-188878-A-30,4,30,door_wood_knock,FALSE,188878,A
4-189332-A-37,4,37,clock_alarm,FALSE,189332,A
4-198841-A-37,4,37,clock_alarm,FALSE,198841,A
4-204115-A-39,4,39,glass_breaking,FALSE,204115,A
4-204119-A-39,4,39,glass_breaking,FALSE,204119,A
4-204121-A-39,4,39,glass_breaking,FALSE,204121,A
4-204123-A-39,4,39,glass_breaking,FALSE,204123,A
4-204684-A-37,4,37,clock_alarm,FALSE,204684,A
4-204777-A-39,4,39,glass_breaking,FALSE,204777,A
4-204777-B-39,4,39,glass_breaking,FALSE,204777,B
4-204777-C-39,4,39,glass_breaking,FALSE,204777,C
4-209536-A-37,4,37,clock_alarm,FALSE,209536,A
4-209698-A-37,4,37,clock_alarm,FALSE,209698,A
4-211502-A-30,4,30,door_wood_knock,FALSE,211502,A
4-212698-A-39,4,39,glass_breaking,FALSE,212698,A
4-261068-A-30,4,30,door_wood_knock,FALSE,261068,A
4-67358-A-42,4,42,siren,FALSE,67358,A
4-80761-A-42,4,42,siren,FALSE,80761,A
4-90014-A-42,4,42,siren,FALSE,90014,A
4-90014-B-42,4,42,siren,FALSE,90014,B
5-117118-A-42,5,42,siren,FALSE,117118,A
5-117120-A-42,5,42,siren,FALSE,117120,A
5-117122-A-42,5,42,siren,FALSE,117122,A
5-133989-A-42,5,42,siren,FALSE,133989,A
5-133989-B-42,5,42,siren,FALSE,133989,B
5-150409-A-42,5,42,siren,FALSE,150409,A
5-160551-A-42,5,42,siren,FALSE,160551,A
5-179294-A-46,5,46,church_bells,FALSE,179294,A
5-184323-A-42,5,42,siren,FALSE,184323,A
5-188716-A-46,5,46,church_bells,FALSE,188716,A
5-197988-A-46,5,46,church_bells,FALSE,197988,A
5-198373-A-46,5,46,church_bells,FALSE,198373,A
5-201170-A-46,5,46,church_bells,FALSE,201170,A
5-201172-A-46,5,46,church_bells,FALSE,201172,A
5-204741-A-46,5,46,church_bells,FALSE,204741,A
5-210612-A-37,5,37,clock_alarm,FALSE,210612,A
5-211408-A-37,5,37,clock_alarm,FALSE,211408,A
5-218980-A-30,5,30,door_wood_knock,FALSE,218980,A
5-218981-A-30,5,30,door_wood_knock,FALSE,218981,A
5-219044-A-46,5,46,church_bells,FALSE,219044,A
5-219242-A-37,5,37,clock_alarm,FALSE,219242,A
5-219242-B-37,5,37,clock_alarm,FALSE,219242,B
5-221528-A-39,5,39,glass_breaking,FALSE,221528,A
5-221529-A-39,5,39,glass_breaking,FALSE,221529,A
5-223176-A-37,5,37,clock_alarm,FALSE,223176,A
5-233605-A-39,5,39,glass_breaking,FALSE,233605,A
5-233607-A-39,5,39,glass_breaking,FALSE,233607,A
5-233645-A-37,5,37,clock_alarm,FALSE,233645,A
5-234247-A-37,5,37,clock_alarm,FALSE,234247,A
5-235644-A-30,5,30,door_wood_knock,FALSE,235644,A
5-250026-A-30,5,30,door_wood_knock,FALSE,250026,A
5-250026-B-30,5,30,door_wood_knock,FALSE,250026,B
5-250629-A-37,5,37,clock_alarm,FALSE,250629,A
5-251426-A-30,5,30,door_wood_knock,FALSE,251426,A
5-251426-B-30,5,30,door_wood_knock,FALSE,251426,B
5-256512-A-30,5,30,door_wood_knock,FALSE,256512,A
5-257642-A-39,5,39,glass_breaking,FALSE,257642,A
5-260432-A-39,5,39,glass_breaking,FALSE,260432,A
5-260433-A-39,5,39,glass_breaking,FALSE,260433,A
5-260434-A-39,5,39,glass_breaking,FALSE,260434,A
